topo,nodes,lr,batch_size,mixing_steps,local_steps,loss
fc,100,0.01,20,1,1,0.10631357133388528
fc,100,0.01,20,1,1,0.10492882877588264
fc,100,0.01,20,1,1,0.10365137457847573
fc,100,0.01,20,1,1,0.10246939957141858
fc,100,0.01,20,1,1,0.101372465491295
fc,100,0.01,20,1,1,0.10035137832164756
fc,100,0.01,20,1,1,0.09939800947904587
fc,100,0.01,20,1,1,0.09850519150495515
fc,100,0.01,20,1,1,0.09766660630702989
fc,100,0.01,20,1,1,0.09687661379575721
fc,100,0.01,20,1,1,0.09613033384084689
fc,100,0.01,20,1,1,0.09542335569858555
fc,100,0.01,20,1,1,0.0947518050670625
fc,100,0.01,20,1,1,0.09411229193210617
fc,100,0.01,20,1,1,0.09350176155567165
fc,100,0.01,20,1,1,0.09291755408048634
fc,100,0.01,20,1,1,0.09235726296901715
fc,100,0.01,20,1,1,0.09181878715753547
fc,100,0.01,20,1,1,0.0913002490997313
fc,100,0.01,20,1,1,0.09079997241497048
fc,100,0.01,20,1,1,0.09031649678945541
fc,100,0.01,20,1,1,0.08984849601984018
fc,100,0.01,20,1,1,0.08939479291439065
fc,100,0.01,20,1,1,0.08895431458950061
fc,100,0.01,20,1,1,0.08852615207433683
fc,100,0.01,20,1,1,0.08810944855213165
fc,100,0.01,20,1,1,0.0877034589648246
fc,100,0.01,20,1,1,0.08730750530958191
fc,100,0.01,20,1,1,0.0869209766387939
fc,100,0.01,20,1,1,0.08654333651065826
fc,100,0.01,20,1,1,0.0861740633845328
fc,100,0.01,20,1,1,0.0858127549290656
fc,100,0.01,20,1,1,0.08545894920825958
fc,100,0.01,20,1,1,0.08511233329772941
fc,100,0.01,20,1,1,0.0847725421190261
fc,100,0.01,20,1,1,0.0844392850995065
fc,100,0.01,20,1,1,0.08411227166652684
fc,100,0.01,20,1,1,0.08379124104976647
fc,100,0.01,20,1,1,0.0834759771823883
fc,100,0.01,20,1,1,0.08316623419523243
fc,100,0.01,20,1,1,0.08286184817552551
fc,100,0.01,20,1,1,0.08256259560585025
fc,100,0.01,20,1,1,0.08226834237575524
fc,100,0.01,20,1,1,0.08197887986898424
fc,100,0.01,20,1,1,0.08169410377740867
fc,100,0.01,20,1,1,0.0814138427376747
fc,100,0.01,20,1,1,0.08113797754049307
fc,100,0.01,20,1,1,0.08086638897657387
fc,100,0.01,20,1,1,0.08059893548488616
fc,100,0.01,20,1,1,0.0803355202078818
fc,100,0.01,20,1,1,0.08007605373859393
fc,100,0.01,20,1,1,0.07982041686773314
fc,100,0.01,20,1,1,0.07956850528717029
fc,100,0.01,20,1,1,0.07932025939226137
fc,100,0.01,20,1,1,0.0790755599737167
fc,100,0.01,20,1,1,0.07883433997631081
fc,100,0.01,20,1,1,0.07859651744365705
fc,100,0.01,20,1,1,0.0783620178699494
fc,100,0.01,20,1,1,0.07813075184822094
fc,100,0.01,20,1,1,0.07790267467498777
fc,100,0.01,20,1,1,0.07767768949270268
fc,100,0.01,20,1,1,0.07745575904846191
fc,100,0.01,20,1,1,0.07723680138587971
fc,100,0.01,20,1,1,0.07702075690031039
fc,100,0.01,20,1,1,0.07680755853652955
fc,100,0.01,20,1,1,0.07659716159105305
fc,100,0.01,20,1,1,0.07638951390981655
fc,100,0.01,20,1,1,0.07618454098701485
fc,100,0.01,20,1,1,0.07598219066858303
fc,100,0.01,20,1,1,0.07578244805336018
fc,100,0.01,20,1,1,0.07558522373437862
fc,100,0.01,20,1,1,0.07539047300815588
fc,100,0.01,20,1,1,0.07519816607236843
fc,100,0.01,20,1,1,0.07500825077295299
fc,100,0.01,20,1,1,0.07482066750526414
fc,100,0.01,20,1,1,0.07463540136814123
fc,100,0.01,20,1,1,0.07445237785577764
fc,100,0.01,20,1,1,0.07427157461643215
fc,100,0.01,20,1,1,0.0740929469466209
fc,100,0.01,20,1,1,0.07391645759344113
fc,100,0.01,20,1,1,0.0737420544028283
fc,100,0.01,20,1,1,0.0735697224736214
fc,100,0.01,20,1,1,0.07339941710233687
fc,100,0.01,20,1,1,0.0732310786843299
fc,100,0.01,20,1,1,0.0730647072196006
fc,100,0.01,20,1,1,0.07290024310350418
fc,100,0.01,20,1,1,0.07273766398429862
fc,100,0.01,20,1,1,0.0725769326090813
fc,100,0.01,20,1,1,0.07241802662611012
fc,100,0.01,20,1,1,0.07226091623306281
fc,100,0.01,20,1,1,0.072105549275875
fc,100,0.01,20,1,1,0.0719519183039667
fc,100,0.01,20,1,1,0.07179998606443398
fc,100,0.01,20,1,1,0.07164973020553585
fc,100,0.01,20,1,1,0.071501098573208
fc,100,0.01,20,1,1,0.07135409116744987
fc,100,0.01,20,1,1,0.07120867073535928
fc,100,0.01,20,1,1,0.07106481492519383
fc,100,0.01,20,1,1,0.07092249393463128
fc,100,0.01,20,1,1,0.07078168541193018
ring,100,0.01,20,1,1,0.2688320553302765
ring,100,0.01,20,1,1,0.19720296688377859
ring,100,0.01,20,1,1,0.16766783893108375
ring,100,0.01,20,1,1,0.15082022391259667
ring,100,0.01,20,1,1,0.13988313175737863
ring,100,0.01,20,1,1,0.13221663191914554
ring,100,0.01,20,1,1,0.12654713228344916
ring,100,0.01,20,1,1,0.12217676788568499
ring,100,0.01,20,1,1,0.11869335032999519
ring,100,0.01,20,1,1,0.11583896599709984
ring,100,0.01,20,1,1,0.1134449250996113
ring,100,0.01,20,1,1,0.11139677979052065
ring,100,0.01,20,1,1,0.10961447261273861
ring,100,0.01,20,1,1,0.10804052509367469
ring,100,0.01,20,1,1,0.10663276940584177
ring,100,0.01,20,1,1,0.10535965286195281
ring,100,0.01,20,1,1,0.10419718816876405
ring,100,0.01,20,1,1,0.10312686130404469
ring,100,0.01,20,1,1,0.10213419541716581
ring,100,0.01,20,1,1,0.10120773360133173
ring,100,0.01,20,1,1,0.10033830709755419
ring,100,0.01,20,1,1,0.09951849885284905
ring,100,0.01,20,1,1,0.09874225907027719
ring,100,0.01,20,1,1,0.0980045984685421
ring,100,0.01,20,1,1,0.09730137199163437
ring,100,0.01,20,1,1,0.09662910781800749
ring,100,0.01,20,1,1,0.09598487354815007
ring,100,0.01,20,1,1,0.0953661724925041
ring,100,0.01,20,1,1,0.09477087222039698
ring,100,0.01,20,1,1,0.09419712431728838
ring,100,0.01,20,1,1,0.09364333473145964
ring,100,0.01,20,1,1,0.0931081042438746
ring,100,0.01,20,1,1,0.09259020939469342
ring,100,0.01,20,1,1,0.0920885669440031
ring,100,0.01,20,1,1,0.09160221904516225
ring,100,0.01,20,1,1,0.09113030716776843
ring,100,0.01,20,1,1,0.09067206665873527
ring,100,0.01,20,1,1,0.09022680394351483
ring,100,0.01,20,1,1,0.08979389727115634
ring,100,0.01,20,1,1,0.08937277987599376
ring,100,0.01,20,1,1,0.08896293483674524
ring,100,0.01,20,1,1,0.08856389015913013
ring,100,0.01,20,1,1,0.08817521125078202
ring,100,0.01,20,1,1,0.0877964982390404
ring,100,0.01,20,1,1,0.08742738202214242
ring,100,0.01,20,1,1,0.08706752113997936
ring,100,0.01,20,1,1,0.08671659551560881
ring,100,0.01,20,1,1,0.08637430965900421
ring,100,0.01,20,1,1,0.08604038469493386
ring,100,0.01,20,1,1,0.08571455962955953
ring,100,0.01,20,1,1,0.08539658911526199
ring,100,0.01,20,1,1,0.08508624374866486
ring,100,0.01,20,1,1,0.08478330411016942
ring,100,0.01,20,1,1,0.08448756419122222
ring,100,0.01,20,1,1,0.08419882677495479
ring,100,0.01,20,1,1,0.08391690976917747
ring,100,0.01,20,1,1,0.0836416329443455
ring,100,0.01,20,1,1,0.08337282642722126
ring,100,0.01,20,1,1,0.08311033278703689
ring,100,0.01,20,1,1,0.08285399444401259
ring,100,0.01,20,1,1,0.08260366678237918
ring,100,0.01,20,1,1,0.08235920630395412
ring,100,0.01,20,1,1,0.08212047524750232
ring,100,0.01,20,1,1,0.08188734598457814
ring,100,0.01,20,1,1,0.08165969245135783
ring,100,0.01,20,1,1,0.08143739067018037
ring,100,0.01,20,1,1,0.08122032634913923
ring,100,0.01,20,1,1,0.08100838564336305
ring,100,0.01,20,1,1,0.08080145858228206
ring,100,0.01,20,1,1,0.08059944100677971
ring,100,0.01,20,1,1,0.08040222868323323
ring,100,0.01,20,1,1,0.08020972527563572
ring,100,0.01,20,1,1,0.08002183243632313
ring,100,0.01,20,1,1,0.07983845807611942
ring,100,0.01,20,1,1,0.07965951234102249
ring,100,0.01,20,1,1,0.07948490627110001
ring,100,0.01,20,1,1,0.07931455478072168
ring,100,0.01,20,1,1,0.07914837561547755
ring,100,0.01,20,1,1,0.0789862889051437
ring,100,0.01,20,1,1,0.07882821545004845
ring,100,0.01,20,1,1,0.0786740779131651
ring,100,0.01,20,1,1,0.07852380134165286
ring,100,0.01,20,1,1,0.07837731495499611
ring,100,0.01,20,1,1,0.0782345477491617
ring,100,0.01,20,1,1,0.07809542976319787
ring,100,0.01,20,1,1,0.0779598943144083
ring,100,0.01,20,1,1,0.07782787524163721
ring,100,0.01,20,1,1,0.07769931092858312
ring,100,0.01,20,1,1,0.07757413424551485
ring,100,0.01,20,1,1,0.07745228655636313
ring,100,0.01,20,1,1,0.07733370833098886
ring,100,0.01,20,1,1,0.07721834018826486
ring,100,0.01,20,1,1,0.0771061261743307
ring,100,0.01,20,1,1,0.0769970093667507
ring,100,0.01,20,1,1,0.07689093545079234
ring,100,0.01,20,1,1,0.07678784996271133
ring,100,0.01,20,1,1,0.07668770201504231
ring,100,0.01,20,1,1,0.07659044109284872
ring,100,0.01,20,1,1,0.07649601615965364
ring,100,0.01,20,1,1,0.07640437692403794
